Activity,Cost,Per Person or Group,Reservation or Tickets,Activity Type,Activity Time,Notes,Links
Turtle Canyon Snorkel,85$,Person,Tickets,Water,,Full refund of cancelation >=24 hrs before,https://www.tripadvisor.com/AttractionProductReview-g29222-d23631429-Turtle_Canyon_Snorkel_Adventure-Oahu_Hawaii.html
Diamond Head hiking,Free,Group,Just Show Up,Hike,Varies,,https://dlnr.hawaii.gov/dsp/parks/oahu/diamond-head-state-monument/
Makapu'u Lighthouse,Free,Group,Just Show Up,Hike,Varies,East side of Oahu,https://oahutravelnow.com/hike-makapuu-lighthouse/
Biking ,3.50$ for 30 minutes,Person,Just Show Up,Travel / Tour,Varies,"Biki Bikes, pay by app or credit card",https://gobiki.org/
Ride the bus around the island,2$ one way,Person,Just Show Up,Travel / Tour,Varies,,https://www.hawaii.com/travel-info-oahu/riding-the-bus-oahu/
Botanical Gardens,Free,Group,Just Show Up,Travel / Tour,Varies,,https://www.honolulu.gov/parks/hbg.html
Kayaking,89$,Group,Reservation,Water,,,https://www.yelp.com/biz/kamaaina-kayak-and-snorkel-eco-ventures-kaneohe
Koko head climb,Free,Group,Just Show Up,Hike,Varies,"It could be a fun challenge, free parking",https://www.best-of-oahu.com/koko-crater-trail.html
Manoa Falls,Free,Group,Just Show Up,Hike,Varies,,https://thishawaiilife.com/waterfalls-of-oahu/
Kalakaua Boulevard on Waikiki,Free,Group,Just Show Up,Travel / Tour,Varies,Maybe biking around this area?,
Ala Moana Shopping Center,Free,Group,Just Show Up,Travel / Tour,Varies,Worlds largest outdoor mall,https://thishawaiilife.com/ala-moana-center/
Ala Moana Beach Park,Free,Group,Just Show Up,Travel / Tour,Varies,,
Sunset Watching on a beach,Free,Group,Just Show Up,Entertainment,,,
Hula Shows,Free,Group,Just Show Up,Entertainment,,Located at Ala Moana Shopping Center,
Fireworks Show on Waikiki ,Free,Group,Just Show Up,Entertainment,,Friday night after sunset,
Hotel ,165$ / night,Group,Reservation,Hotel,,Ilima Hotel,https://www.tripadvisor.com/Hotel_Review-s1-g60982-d87024-Reviews-Ilima_Hotel-Honolulu_Oahu_Hawaii.html
Hotel ,248$ / night,Group,Reservation,Hotel,,Sheraton Princess Kaiulani,https://www.tripadvisor.com/Hotel_Review-s1-g60982-d87104-Reviews-Sheraton_Princess_Kaiulani-Honolulu_Oahu_Hawaii.html
Kualoa Ranch,70$,Person,Tickets,Travel / Tour,,Different ways to tour around,https://tourscanner.com/s/oahu/i/kualoa-ranch?myks_source=blog&myks_campaign=todooahueng
Polynesian Cultural Center,70$,Person,Tickets,Entertainment,,,https://polynesia.com/packages
North Shore beach,Free,Group,Just Show Up,Travel / Tour,,,
Mokulua Islands,82$,Person,Reservation,Travel / Tour,,,https://www.tripadvisor.com/AttractionProductReview-g29222-d26845307-Mokulua_Islands_Self_Guided_Kayak_Adventure-Oahu_Hawaii.html
Honolulu Street Art,Free,Group,Just Show Up,Travel / Tour,,Maybe bike around here,
Helicopter Tours,$375,Person,Just Show Up,Travel / Tour,1 hour,,https://www.getyourguide.com/oahu-l4966/oahu-60-minute-helicopter-tour-doors-on-or-off-t163488/?partner_id=8ZL2433&psrc=partner_api&cmp=a006N9YnaenUS&currency=USD
Ziplining,$105- 300$,Person,Reservation,Travel / Tour,,,https://tourscanner.com/s/oahu/i/zip-lining?myks_source=blog&myks_campaign=todooahueng
Parasailing,94$,Person,Reservation,Water,1 hour,,https://www.viator.com/tours/Oahu/Waikiki-Parasailing-Experience-in-Oahu/d672-7006_PAR?mcid=42383&target_lander=NONE&campaign=a006N9YnaenUS&pid=P00051294&medium=api&api_version=2.0&SUBPUID=a006N9YnaenUS&currency=USD
Spa day,225$,Person,Reservation,Entertainment,,,https://www.fourseasons.com/oahu/spa/
Waikiki Aquarium,12$,Person,Tickets,Entertainment,,,https://www.waikikiaquarium.org/visit/buy-tickets/
Waimea Valley,25$,Person,Reservation,Hike,,,https://www.waimeavalley.net/
Atlantis Submarine Adventure,$138,Person,Reservation,Entertainment,,Located in Waikiki,https://atlantisadventures.rezgo.com/details/151625/atlantis-premium-submarine-tour-waikiki
Scavenger Hunts,12$ - 35$,Person,Just Show Up,Travel / Tour,Varies,At your own pace,https://tourscanner.com/s/oahu/i/scavenger-games?myks_source=blog&myks_campaign=todooahueng
Segway tours,179$,Person,Reservation,Travel / Tour,,,https://tourscanner.com/s/oahu/i/segway-tours?myks_source=blog&myks_campaign=todooahueng
Stargazing,Free,Group,Just Show Up,Entertainment,,"Can be done anywhere, but some suggest Mt Tantalus",
Oahu All-Inclusive Pass,99+$,Person,Tickets,Entertainment,,,https://tourscanner.com/s/oahu/i/go-oahu-pass?myks_source=blog&myks_campaign=todomoahung
Tourscanner Article,Free,Person,Just Show Up,Entertainment,,,https://tourscanner.com/blog/things-to-do-in-oahu-hawaii/
Aloha Circle Tour,209$,Group,Reservation,Travel / Tour,8 hours,,https://www.groupon.com/mygroupons/users/032f9bb8-8550-11ed-96ec-0229989a2000/details/a8570afb-0f2b-4e36-9851-025aa5606277?inventory_service=vis
Zipline Tours ,180$,Person,Reservation,Travel / Tour,3 hours,,https://www.climbworks.com/keana_farms/